,speaker,background,speech,type,gender,debate,day,order,PERSON,ORG,GPE,NORP,LAW,LOC,polarity_sentiment
4589,Elizabeth Warren,,We also need to make it easier to join a union and give unions more power when they negotiate.,Candidate,female,4,1,182,,,,,,,0.5
4591,Elizabeth Warren,,"We need to restructure strength in this economy, and that's where it starts.",Candidate,female,4,1,184,,,,,,,0.0
4594,Julian Castro,,"Well, I think -- I think what folks have said is that that is only part of the issue, right? You know, I believe that we need to address communities that are being impacted by automation. I'm even willing to pilot something like UBI and to see how that would work.",Candidate,male,4,1,187,,UBI;,,,,,0.17857142857142858
4595,Julian Castro,,"But I think we need to focus on making sure that we spark job opportunity for people across this country. As I mentioned earlier, here in Ohio, in the latest job data, Ohio is losing jobs under Donald Trump. He has broken his promises to Ohio and the industrial Midwest. I would invest in infrastructure to put people back to work. I would invest in a Green New Deal to unleash millions of new jobs in a clean energy economy.",Candidate,male,4,1,188,Donald Trump;,,Ohio;Ohio;Ohio;,,,Midwest;,0.1154882154882155
4596,Julian Castro,,"I was in Newton, Iowa, a few weeks ago and I visited a place called TPI. Newton, Iowa, had a Maytag washing machine manufacturing facility, and then it closed down. TPI manufactures wind turbines. They're putting hundreds of people to work at decent-paying jobs and creating a better future for those families.",Candidate,male,4,1,189,,TPI;Maytag;,Iowa;Newton;Iowa;Newton;,,,,0.00888888888888888
4597,Julian Castro,,"On top of that, let me just say this. We need to support working families. We need to invest in things like...",Candidate,male,4,1,190,,,,,,,0.5
4599,Julian Castro,,"... universal childcare, so that people can afford childcare instead of having to pay 20 percent of their income for it.",Candidate,male,4,1,192,,,,,,,0.0
4600,Andrew Yang,,"Senator Warren, I just need -- I just need to address this.",Candidate,male,4,1,193,Warren;,,,,,,0.0
4602,Andrew Yang,,"Senator Warren, I've been talking to Americans around the country about automation. And they're smart. They see what's happening around them. Their Main Street stores are closing. They see a self-serve kiosk in every McDonalds, every grocery store, every CVS. Driving a truck is the most common job in 29 states, including this one; 3.5 million truck drivers in this country. And my friends in California are piloting self-driving trucks.",Candidate,male,4,1,195,Warren;,,California;,Americans;,,,0.14523809523809522
4603,Andrew Yang,,"What is that going to mean for the 3.5 million truckers or the 7 million Americans who work in truck stops, motels, and diners that rely upon the truckers getting out and having a meal? Saying this is a rules problem is ignoring the reality that Americans see around us every single day.",Candidate,male,4,1,196,,,,Americans;Americans;,,,-0.1919642857142857
4607,Elizabeth Warren,,"So I understand that what we're all looking for is how we strengthen America's middle class. And actually, I think the thing closest to the universal basic income is Social Security. It's one of the reasons that I've put forward a plan to extend the solvency of Social Security by decades and add $200 to the payment of every person who receives Social Security right now and every person who receives disability insurance right now.",Candidate,female,4,1,200,,Social Security;Social Security;Social Security;,America;,,,,0.0746031746031746
4608,Elizabeth Warren,,"That $200 a month will lift nearly 5 million families out of poverty. And it will sure loosen up the budget for a whole lot more. It also has a provision for your wife, for those who stay home to do caregiving for children or for seniors, and creates an opportunity for them to get credit on their Social Security.",Candidate,female,4,1,201,,Social Security;,,,,,0.2666666666666667
4610,Elizabeth Warren,,"So after a lifetime of hard work, people are entitled to retire with dignity.",Candidate,female,4,1,203,,,,,,,-0.2916666666666667
4612,Elizabeth Warren,,I see this as an important question about just -- I want to understand the data on this.,Candidate,female,4,1,205,,,,,,,0.4
4614,Elizabeth Warren,,And I want to make sure we're responding to make this work.,Candidate,female,4,1,207,,,,,,,0.5
4618,Tulsi Gabbard,,"Thank you. You know, really what this is about is getting to the heart of the fear that is well founded. As people look to this automation revolution, they look to uncertainty. They don't know how this is going to affect their jobs and their everyday lives.",Candidate,female,4,1,211,,,,,,,0.0
4619,Tulsi Gabbard,,"And I agree with my friend, Andrew Yang. I think universal basic income is a good idea to help provide that security so that people can have the freedom to make the kinds of choices that they want to see.",Candidate,female,4,1,212,Andrew Yang;,,,,,,0.2333333333333333
4620,Tulsi Gabbard,,"This has to do with bad trade deals that we've seen in the past that have also driven fear towards people losing the way that they provide for their families. Really what we need to do is look at how we can best serve the interests of the American people. I do not believe a federal jobs guarantee is the way to do that. The value that someone feels in themselves and their own lives is not defined by the job that they have but is intrinsic to who we all are as Americans, whatever we choose to do with our lives, and we can't forget that.",Candidate,female,4,1,213,,,,Americans;American;,,,0.1416666666666667
4624,Cory Booker,,"Well, first of all, the one point I wanted to make about the UBI conversation -- and I hope that my friend, Andrew Yang, will come out for this -- doing more for workers than UBI would actually be just raising the minimum wage to $15 an hour. It would put more money in people's pockets than giving them $1,000 a month.",Candidate,male,4,1,217,Andrew Yang;,UBI;UBI;,,,,,0.3125
4625,Cory Booker,,"We have to start putting the dignity back in work. And, number one, you start having trade deals, not like this thing that the president is trying to push through Congress right now that gives pharmaceutical companies and other corporations benefits and doesn't put workers at the center of every trade deal.",Candidate,male,4,1,218,,Congress;,,,,,0.015178571428571423
